,PlayerIDSID,PlayerFirstName,PlayerLastName,PlayerNumber,P,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,GP,Poss,Time,Points,FGA,FGM,PPP,WorsePPP,BetterPPP,PossG,PPG,FGAG,FGMG,FGmG,FGm,FG,aFG,FT,TO,SF,PlusOne,Score
28,200826,J.J.,Barea,5,G,1610612742,Dallas Mavericks,DAL,Dallas,37,204,50.0,178,153,67,0.8725489974021912,169,56,5.513513513513513,4.8108108108108105,4.135135135135135,1.8108108108108107,2.3243243243243246,86,43.790849673202615,50.98039215686274,6.862745098039215,20.098039215686274,5.882352941176471,1.9607843137254901,37.745098039215684
29,1626156,DAngelo ,Russell,1,G,1610612747,Los Angeles Lakers,LAL,LALakers,41,242,40.5359992980957,171,180,69,0.7066119909286499,82,143,5.902439024390244,4.170731707317073,4.390243902439025,1.6829268292682926,2.7073170731707323,111,38.333333333333336,41.94444444444444,6.6115702479338845,19.834710743801654,5.785123966942149,0.8264462809917356,34.29752066115702
30,203504,Trey,Burke,3,G,1610612762,Utah Jazz,UTA,Utah,41,197,35.49549865722656,170,159,71,0.8629440069198608,163,62,4.804878048780488,4.146341463414634,3.8780487804878048,1.7317073170731707,2.1463414634146343,88,44.65408805031446,45.911949685534594,8.629441624365482,12.690355329949238,6.598984771573604,2.030456852791878,42.131979695431475
31,203897,Zach,LaVine,8,G,1610612750,Minnesota Timberwolves,MIN,Minnesota,43,223,37.0432014465332,169,189,71,0.7578480243682861,109,116,5.186046511627907,3.9302325581395348,4.395348837209302,1.6511627906976745,2.7441860465116275,118,37.56613756613756,40.21164021164021,4.932735426008969,10.31390134529148,4.484304932735426,0.8968609865470852,35.874439461883405
32,2544,LeBron,James,23,F,1610612739,Cleveland Cavaliers,CLE,Cleveland,38,210,21.943599700927734,168,166,66,0.800000011920929,131,91,5.526315789473684,4.421052631578948,4.368421052631579,1.736842105263158,2.631578947368421,100,39.75903614457831,41.86746987951807,8.571428571428571,12.857142857142858,8.571428571428571,1.4285714285714286,38.57142857142857
33,203506,Victor,Oladipo,5,G,1610612753,Orlando Magic,ORL,Orlando,37,215,37.197200775146484,167,159,66,0.77674400806427,120,105,5.8108108108108105,4.513513513513513,4.297297297297297,1.7837837837837838,2.5135135135135136,93,41.509433962264154,42.76729559748428,8.372093023255815,18.13953488372093,6.046511627906977,0.46511627906976744,38.604651162790695
34,202709,Cory,Joseph,6,G,1610612761,Toronto Raptors,TOR,Toronto,41,183,47.16490173339844,164,132,62,0.8961750268936157,181,44,4.463414634146342,4.0,3.2195121951219514,1.5121951219512195,1.707317073170732,70,46.96969696969697,46.96969696969697,14.754098360655737,13.66120218579235,12.021857923497267,0.546448087431694,48.08743169398907
35,201142,Kevin,Durant,35,F,1610612760,Oklahoma City Thunder,OKC,OklahomaCity,36,164,19.339599609375,159,116,55,0.9695119857788086,202,23,4.555555555555555,4.416666666666667,3.2222222222222223,1.5277777777777777,1.6944444444444446,61,47.41379310344828,52.58620689655172,12.804878048780488,20.73170731707317,12.195121951219512,4.2682926829268295,42.073170731707314
36,201569,Eric,Gordon,10,G,1610612740,New Orleans Pelicans,NOP,NewOrleans,41,166,27.07990074157715,157,118,54,0.9457830190658569,197,28,4.048780487804878,3.8292682926829267,2.8780487804878048,1.3170731707317074,1.5609756097560974,64,45.76271186440678,52.54237288135593,11.44578313253012,19.27710843373494,10.843373493975903,2.4096385542168677,41.566265060240966
37,201609,Goran,Dragic,7,G,1610612748,Miami Heat,MIA,Miami,37,194,37.307701110839844,149,142,63,0.7680410146713257,113,111,5.243243243243243,4.027027027027027,3.8378378378378377,1.7027027027027026,2.135135135135135,79,44.36619718309859,45.774647887323944,6.701030927835052,21.1340206185567,6.185567010309279,1.0309278350515463,38.144329896907216
38,202330,Gordon,Hayward,20,G-F,1610612762,Utah Jazz,UTA,Utah,41,194,23.45829963684082,149,129,46,0.7680410146713257,113,111,4.7317073170731705,3.6341463414634148,3.1463414634146343,1.1219512195121952,2.024390243902439,83,35.65891472868217,38.75968992248062,15.97938144329897,19.072164948453608,10.824742268041238,1.5463917525773196,38.144329896907216
39,202391,Jeremy,Lin,7,G,1610612766,Charlotte Hornets,CHA,Charlotte,39,168,32.68479919433594,144,121,51,0.857142984867096,159,65,4.3076923076923075,3.6923076923076925,3.1025641025641026,1.3076923076923077,1.794871794871795,70,42.14876033057851,46.28099173553719,13.095238095238095,17.261904761904763,8.333333333333334,2.380952380952381,41.07142857142857
40,101109,Raymond,Felton,2,G,1610612742,Dallas Mavericks,DAL,Dallas,43,192,41.37929916381836,142,142,57,0.7395830154418945,102,123,4.465116279069767,3.302325581395349,3.302325581395349,1.3255813953488371,1.9767441860465118,85,40.140845070422536,41.901408450704224,7.8125,18.75,6.25,0.5208333333333334,36.979166666666664
41,201596,Mario,Chalmers,6,G,1610612763,Memphis Grizzlies,MEM,Memphis,34,150,38.759700775146484,139,86,37,0.9266669750213623,190,35,4.411764705882353,4.088235294117647,2.5294117647058822,1.088235294117647,1.4411764705882353,49,43.02325581395349,45.93023255813954,26.0,19.333333333333332,20.0,2.6666666666666665,47.333333333333336
42,203918,Rodney,Hood,5,G-F,1610612762,Utah Jazz,UTA,Utah,39,156,28.571399688720703,138,117,50,0.8846150040626526,176,49,4.0,3.5384615384615383,3.0,1.2820512820512822,1.7179487179487178,67,42.73504273504273,47.43589743589744,10.897435897435898,16.025641025641026,10.256410256410257,1.9230769230769231,41.02564102564103
43,201937,Ricky,Rubio,9,G,1610612750,Minnesota Timberwolves,MIN,Minnesota,37,190,42.222198486328125,138,126,45,0.726315975189209,92,133,5.135135135135135,3.72972972972973,3.4054054054054053,1.2162162162162162,2.189189189189189,81,35.714285714285715,36.507936507936506,16.31578947368421,18.94736842105263,11.578947368421053,1.5789473684210527,37.89473684210526
44,101114,Deron,Williams,8,G,1610612742,Dallas Mavericks,DAL,Dallas,35,164,29.710100173950195,135,121,53,0.8231710195541382,143,82,4.685714285714286,3.857142857142857,3.4571428571428573,1.5142857142857142,1.942857142857143,68,43.80165289256198,45.86776859504132,8.536585365853659,18.29268292682927,6.7073170731707314,0.6097560975609756,40.24390243902439
